date,h_theoretical,h_actual,h_ecm_base,ect,beta0,beta1,r_squared_coint,sigma_ecm,sigma_f
2024-09-25,0.044722608707057104,0.04806643359836743,0.5391162193527853,-0.10885090972305989,-548.0754252183277,1.139801656421068,0.9954258328066932,0.005098586812205699,0.017702208556314648
2024-09-26,0.06382141118962094,0.05864992845402311,0.5391162193527853,-22.520315538678915,-544.4498412302431,1.1387142472460985,0.9954557527575743,0.005889378106118751,0.017116991498886208
2024-09-27,0.056782799710461664,0.16431889466602953,0.5391162193527853,-20.987699641546442,-546.7658476767147,1.139286748489289,0.9953446467323747,0.005496572396819031,0.016936542275971335
2024-09-30,0.1163299487138767,0.2569529976317316,0.5391162193527853,46.4362563576251,-549.5873918305535,1.140035996561331,0.9952151901277178,0.008096915453627132,0.017430708298813827
2024-10-08,0.6467449865420504,0.3336005269815875,0.5391162193527853,43.61899740981289,-554.1233807610074,1.1414896926829199,0.9948314421274207,0.025127499039118435,0.02294161189756071
2024-10-09,0.5681052904632736,0.4008088878656633,0.5391162193527853,46.85555710466724,-564.069636097882,1.1445572889927793,0.9946726922629725,0.022934240032908483,0.022341438655701536
2024-10-10,0.49687995201630686,0.44776139144908894,0.5391162193527853,37.8195698918571,-572.9300993732065,1.1473198796761737,0.9944167132624699,0.020806445127078757,0.021672716357235985
2024-10-11,0.43651003870548977,0.3953049566394873,0.5391162193527853,22.84985135863826,-580.0432190141685,1.1495396964866713,0.9942092083388018,0.018837587253635456,0.020934826109971497
2024-10-14,0.3816115939602317,0.3524335395893453,0.5391162193527853,31.969995570221727,-585.4231048539134,1.1511978836774055,0.9940728386053589,0.017060401731605092,0.02027774568718832
2024-10-15,0.35036612986780097,0.31684998969453865,0.5391162193527853,16.892989007632877,-592.7247104710699,1.15343650332041,0.9938696940586172,0.015921947052227516,0.01975041912576979
2024-10-16,0.32588178412997143,0.2780098916905319,0.5391162193527853,4.928005108681646,-596.8097961091396,1.1546924424311285,0.9937243296238099,0.014927017898537247,0.019199247615977508
2024-10-17,0.29583289511064953,0.24247022153499828,0.5391162193527853,59.24286028533061,-596.8250634671391,1.1547096051169408,0.993592358996396,0.013763723073620638,0.018580350107047595
2024-10-18,0.21706348498285138,0.2087795230478874,0.5391162193527853,22.081664024149177,-590.8909498943648,1.1531783782028526,0.9929166762587903,0.013367309000283777,0.02106647152163044
2024-10-21,0.18081245758146672,0.17696932723059214,0.5391162193527853,13.91296703294438,-588.0741814956991,1.1524051206545636,0.9927312655509966,0.012222470524610125,0.02110503238755384
2024-10-22,0.1600136834156248,0.1474904128768803,0.5391162193527853,12.78567619695923,-583.7227716125723,1.151141453024796,0.9926332542489671,0.011108009200135964,0.020389138145822893
2024-10-23,0.146154177762253,0.1294609796059974,0.5391162193527853,22.09374094501345,-586.7799603113153,1.1520961505656795,0.992467991303597,0.010295285849276614,0.019773064873134672
2024-10-24,0.12927702901217786,0.11647112799131905,0.5391162193527853,13.82071502053168,-585.1858053710423,1.151698274576661,0.9922053247673794,0.009371573799197076,0.019137845624676866
2024-10-25,0.1151971870023627,0.1102463847533547,0.5391162193527853,-1.5830035923636387,-578.797261409613,1.1498249336163775,0.9921515181763245,0.008550799883295764,0.018498094955015386
2024-10-28,0.10741979595853418,0.10622782861073146,0.5391162193527853,-7.219977575056419,-571.925440649828,1.1477580686652515,0.9921384892134549,0.00819951066823588,0.018369061687114892
2024-10-29,0.12484388412112622,0.10314985847862444,0.5391162193527853,-4.252543724520365,-570.1524068325525,1.1472134913300849,0.9919817953867517,0.00893581615605098,0.018569139893227074
2024-10-30,0.12344933555643173,0.1004877212845728,0.5391162193527853,-5.918170399610062,-568.822914296243,1.1468063223790002,0.9917821086588421,0.008725018063191047,0.01823321089428244
2024-10-31,0.11188649776577324,0.09732339870853354,0.5391162193527853,-4.424164029697749,-564.7281939633287,1.1455679838285548,0.9916342288157147,0.008052860322859134,0.017676754292276303
2024-11-01,0.10015611185597093,0.08961593539213857,0.5391162193527853,7.918119093102632,-561.0486876517067,1.1444592774820466,0.9914570291707936,0.007363786121859001,0.01708455364304168
2024-11-04,0.08954137340391236,0.08103492711966098,0.5391162193527853,-0.6376973871292648,-559.2724323832942,1.143948138886837,0.9912478223217104,0.0067780874235899525,0.016631694125553254
2024-11-05,0.0812967163834945,0.07415900012323855,0.5391162193527853,1.7706431179540232,-553.6866508216701,1.1422768052641927,0.9911187559314525,0.006285876615845256,0.016187155871744456
